ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes,concurrency,prefill_tps_req,gen_tps_req,peak_gen_tps,peak_gen_tps_req,ttfr_ms,est_ppt_ms,e2e_ttft_ms
65536,2048,653.586,128,13.7956,,1,653.586,13.7956,16,16,105100,104995,105244
73728,2048,636.381,128,13.8097,,1,636.381,13.8097,17,17,121038,120932,121263
81920,2048,620.886,128,13.3346,,1,620.886,13.3346,16,16,137269,137164,137347
90112,2048,604.017,128,13.1284,,1,604.017,13.1284,15,15,155177,155072,155336
98304,2048,591.569,128,12.8494,,1,591.569,12.8494,15,15,172631,172526,172792
106496,2048,576.82,128,12.6325,,1,576.82,12.6325,15,15,191144,191039,191309
114688,2048,564.551,128,12.4994,,1,564.551,12.4994,16,16,209146,209040,209396
122880,2048,551.207,128,12.1419,,1,551.207,12.1419,14,14,229594,229489,229764
131072,2048,529.62,128,11.7399,,1,529.62,11.7399,15,15,254272,254167,254449
